item_title,item_price,item_url,added_on,updated_on,updated_at
"Mod Podge ® Wash Out for Kids Gloss, Flip-Top 8 oz. - CS11534",5.4,https://plaidonline.com/shop-products/mod-podge-wash-out-for-kids-gloss-flip-top-8-oz-cs11534,2022-11-09 23:25:36.329592+00:00,,2022-11-09 23:26:30.936593+00:00
"FolkArt Home Decor Chalk - Fiddlehead Fern, 8 oz. - 11960",5.0,https://plaidonline.com/shop-products/folkart-home-decor-chalk-fiddlehead-fern-8-oz-11960,2022-11-09 23:25:36.329592+00:00,,2022-11-09 23:26:30.936593+00:00
FolkArt ® Outdoor™ Acrylic Colors Paint Set 6 Color - Basics - 7537,9.3,https://plaidonline.com/shop-products/folkart-outdoor-acrylic-colors-paint-set-6-color-basics-7537,2022-11-09 23:25:36.329592+00:00,,2022-11-09 23:26:30.936593+00:00
"FolkArt ® Glitterific™ Icons Acrylic Paint - Flowers and Butterflies, 2...",3.1,https://plaidonline.com/shop-products/folkart-glitterific-icons-acrylic-paint-flowers-and-butterflies-2-oz-7164,2022-11-09 23:25:36.329592+00:00,,
"FolkArt ® Glitterific™ Polka Dot Acrylic Paint - Pinky Pie, 2 oz. - 7160",3.1,https://plaidonline.com/shop-products/folkart-glitterific-polka-dot-acrylic-paint-pinky-pie-2-oz-7160,2022-11-09 23:25:36.329592+00:00,,
"FolkArt ® Glitterific™ Polka Dot Acrylic Paint - Mermaid Tail, 2 oz. - 7159",3.1,https://plaidonline.com/shop-products/folkart-glitterific-polka-dot-acrylic-paint-mermaid-tail-2-oz-7159,2022-11-09 23:25:36.329592+00:00,,
"PlaidFX Mutant Shift Flexible Acrylic Paint - Fireball, 3 oz. - 36918",4.1,https://plaidonline.com/shop-products/plaidfx-mutant-shift-flexible-acrylic-paint-fireball-3-oz-36918,2022-11-09 23:25:36.329592+00:00,,
"PlaidFX Mutant Shift Flexible Acrylic Paint - Infrared, 3 oz. - 36916",4.1,https://plaidonline.com/shop-products/plaidfx-mutant-shift-flexible-acrylic-paint-infrared-3-oz-36916,2022-11-09 23:25:36.329592+00:00,,
"PlaidFX Mutant Shift Flexible Acrylic Paint - Shockwave, 3 oz. - 36915",4.1,https://plaidonline.com/shop-products/plaidfx-mutant-shift-flexible-acrylic-paint-shockwave-3-oz-36915,2022-11-09 23:25:36.329592+00:00,,
"PlaidFX Mutant Shift Flexible Acrylic Paint - Gamma Ray, 3 oz. - 36914",4.1,https://plaidonline.com/shop-products/plaidfx-mutant-shift-flexible-acrylic-paint-gamma-ray-3-oz-36914,2022-11-09 23:25:36.329592+00:00,,
FolkArt ® Treasure Gold™- Blue Quartz 2 oz. - 3086,4.9,https://plaidonline.com/shop-products/folkart-treasure-gold-blue-quartz-2-oz-3086,2022-11-09 23:25:36.329592+00:00,,
"PlaidFX Hi-Voltage Glitter Flexible Acrylic Paint - Bronze Shift, 3 oz. - 36904",4.1,https://plaidonline.com/shop-products/plaidfx-hi-voltage-glitter-flexible-acrylic-paint-bronze-shift-3-oz-36904,2022-11-09 23:25:36.329592+00:00,,
"PlaidFX Hi-Voltage Glitter Flexible Acrylic Paint - Iridescent, 3 oz. - 36902",4.1,https://plaidonline.com/shop-products/plaidfx-hi-voltage-glitter-flexible-acrylic-paint-iridescent-3-oz-36902,2022-11-09 23:25:36.329592+00:00,,
"PlaidFX Hi-Voltage Glitter Flexible Acrylic Paint - Gold, 3 oz. - 36900",4.1,https://plaidonline.com/shop-products/plaidfx-hi-voltage-glitter-flexible-acrylic-paint-gold-3-oz-36900,2022-11-09 23:25:36.329592+00:00,,
"PlaidFX Armour Metal Flexible Acrylic Paint - Bronzed, 3 oz. - 36888",3.5,https://plaidonline.com/shop-products/plaidfx-armour-metal-flexible-acrylic-paint-bronzed-3-oz-36888,2022-11-09 23:25:36.329592+00:00,,
"PlaidFX Nuclear Neon Flexible Acrylic Paint - Nitro Blue, 3 oz. - 36880",3.5,https://plaidonline.com/shop-products/plaidfx-nuclear-neon-flexible-acrylic-paint-nitro-blue-3-oz-36880,2022-11-09 23:25:36.329592+00:00,,
"PlaidFX Nuclear Neon Flexible Acrylic Paint - Shocker, 3 oz. - 36879",3.5,https://plaidonline.com/shop-products/plaidfx-nuclear-neon-flexible-acrylic-paint-shocker-3-oz-36879,2022-11-09 23:25:36.329592+00:00,,
"PlaidFX Smooth Satin Flexible Acrylic Paint - Doomsday, 3 oz. - 36872",2.9,https://plaidonline.com/shop-products/plaidfx-smooth-satin-flexible-acrylic-paint-doomsday-3-oz-36872,2022-11-09 23:25:36.329592+00:00,,
"PlaidFX Smooth Satin Flexible Acrylic Paint - Malevolent, 3 oz. - 36866",2.9,https://plaidonline.com/shop-products/plaidfx-smooth-satin-flexible-acrylic-paint-malevolent-3-oz-36866,2022-11-09 23:25:36.329592+00:00,,
"PlaidFX Smooth Satin Flexible Acrylic Paint - Commander Navy, 3 oz. - 36863",2.9,https://plaidonline.com/shop-products/plaidfx-smooth-satin-flexible-acrylic-paint-commander-navy-3-oz-36863,2022-11-09 23:25:36.329592+00:00,,
"PlaidFX Smooth Satin Flexible Acrylic Paint - Aquarius, 3 oz. - 36859",2.9,https://plaidonline.com/shop-products/plaidfx-smooth-satin-flexible-acrylic-paint-aquarius-3-oz-36859,2022-11-09 23:25:36.329592+00:00,,
"PlaidFX Smooth Satin Flexible Acrylic Paint - Green Empire, 3 oz. - 36856",2.9,https://plaidonline.com/shop-products/plaidfx-smooth-satin-flexible-acrylic-paint-green-empire-3-oz-36856,2022-11-09 23:25:36.329592+00:00,,
